source_file,model,segment_id,maxcpu,avgcpu,p95maxcpu,vmcorecountbucket,vmmemorybucket,lifetime,corehour,allocated_gpu_hour,avg_power_W,measured_energy_Wh,power_saving_index
unlabeled_gpu_trace5.csv,unlabeled,0,95.0,80.96638655462185,93.0,1,8,0.020641666650772095,0.0167128116117806,0.020641666650772095,196.57596638655457,4.0576555697046395,0.7723184760824376
unlabeled_gpu_trace5.csv,unlabeled,1,94.0,88.89355742296918,93.0,1,8,0.020671388904253643,0.01837553296572799,0.020671388904253643,211.5254621848741,4.37252509197553,0.48563198850652617
unlabeled_gpu_trace5.csv,unlabeled,2,94.0,91.57142857142857,93.0,1,8,0.020633888906902736,0.018894746841892362,0.020633888906902736,215.0846498599439,4.438032770790156,0.37406276210945605
unlabeled_gpu_trace5.csv,unlabeled,3,94.0,80.35994397759103,93.0,1,8,0.020800833370950487,0.01671553804376787,0.020800833370950487,194.2860224089638,4.041311178433608,0.7937157794842367
unlabeled_gpu_trace5.csv,unlabeled,4,94.0,78.36886395511921,93.0,1,8,0.020748611092567443,0.016260450799710953,0.020748611092567443,190.7282889200562,3.9573470911530864,0.8560191330554568
unlabeled_gpu_trace6.csv,unlabeled,0,93.0,20.648459689753114,85.0,2,32,0.06839444445239173,0.028244798585565386,0.13678888890478347,72.06040201005007,9.857062324986774,3.9108653921090193
unlabeled_gpu_trace6.csv,unlabeled,1,91.0,25.258903211710727,85.0,2,32,0.06811333331796858,0.0344093618741112,0.13622666663593716,82.30556259558693,11.21221243799228,4.190065275194209
unlabeled_gpu_trace6.csv,unlabeled,2,91.0,25.70388986013986,85.0,2,32,0.06806250002649095,0.034989420085733795,0.1361250000529819,83.50487543706284,11.367101173294424,4.22265700371008
unlabeled_gpu_trace6.csv,unlabeled,3,92.0,25.746066433566433,85.0,2,32,0.06807555556297303,0.03505355552052493,0.13615111112594605,83.53786931818158,11.3737737287645,4.2227371942766325
unlabeled_gpu_trace6.csv,unlabeled,4,100.0,25.214597902097903,85.0,2,32,0.0681047221687105,0.034344663694362565,0.136209444337421,83.36617132867113,11.355259873216532,4.246038377723356
unlabeled_gpu_trace7.csv,unlabeled,0,80.0,55.56748994830557,75.0,1,4,0.15013277775711484,0.08342501618929672,0.15013277775711484,99.10879379666865,14.879478512850977,6.611325785862223
unlabeled_gpu_trace7.csv,unlabeled,1,71.0,67.96496266513498,70.0,1,4,0.14973277774122026,0.10176582648928989,0.14973277774122026,117.41793222286032,17.581313148359207,5.632180231036405
