S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.2,1.0,1.0,deterministic,0.1,tw_dense,10,56.59192501727382,0.26729296674910696,0.033986461877795686,0.366,0.633,382867.0590793335
20,0.2,1.0,1.0,deterministic,0.1,tw_gated_offline,10,49.2048278877795,0.1920339045268226,0.025270860547509683,0.325,0.567,433618.09453089506
20,0.2,1.0,1.0,deterministic,0.1,tw_offline,10,56.29058819573548,0.18872680357417004,0.025006784153885027,0.353,0.58,400249.95940613176
20,0.2,1.0,1.0,deterministic,0.1,tw_support_offline,10,67.14057799080621,0.10113758162244288,0.007163186928349807,0.471,0.6930000000000001,315911.06415398297
20,0.3,1.0,1.0,deterministic,0.1,exp4_dense,10,70.19339883259379,0.29109233850855054,0.039718524105471324,0.44800000000000006,0.693,264675.9316498786
20,0.3,1.0,1.0,deterministic,0.1,global_ucb_tw_dense,10,57.02158731235405,0.2875076732128754,0.03816589843426505,0.364,0.5760000000000001,376945.86709195643
20,0.3,1.0,1.0,deterministic,0.1,local_ucb_tw_dense,10,61.19765308691633,0.2867703761327098,0.03808854427788094,0.4,0.673,344423.4624757799
20,0.3,1.0,1.0,deterministic,0.1,oracle,10,86.35129561150897,0.2884412245617745,0.038650174738084866,0.746,0.897,140861.81507919173
20,0.3,1.0,1.0,deterministic,0.1,state_thompson,10,54.586585670003146,0.28931944896922535,0.03872534788479867,0.322,0.5290000000000001,414290.8235022448
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_dense,10,54.792430421739596,0.28858519413839734,0.03813505872000879,0.33999999999999997,0.579,421786.2878587328
20,0.3,1.0,1.0,deterministic,0.1,tm_tw_gated_offline,10,60.089065827672016,0.20339375466978327,0.02773038030436419,0.383,0.6379999999999999,365574.57726201584
