policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
tw,20262077,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6015.476536018969,601547.653601897,909601.0465776342,66.13313120793062,308053.3929757372,0.44,0.7,0.25162894586405044,0.013107318709845543,1.0546247910000375,tw_gated_offline,context_noise_refinement
tm_tw,20262397,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,3755.9084218775697,375590.84218775696,874370.2221670246,42.95558479300666,498779.37997926766,0.27,0.54,0.25075264805473785,0.013042908426964412,1.0782037080000464,tm_tw_gated_offline,context_noise_refinement
tm_tw_refined,20263225,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,7801.261158565721,780126.1158565722,937315.7632478694,83.22980861362842,157189.64739129727,0.56,0.84,0.2488673922491651,0.012966156632020658,1.0740079580000383,tm_tw_refined_gated_offline,context_noise_refinement
tw,20262357,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,5459.331800489858,545933.1800489859,886843.7622132758,61.5591159694818,340910.5821642899,0.37,0.61,0.07948341962071333,0.000930801394732317,1.025486125000043,tw_support_offline,context_noise_refinement
tm_tw,20262677,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,3171.2674006426414,317126.74006426416,877110.414542926,36.15585162439591,559983.6744786619,0.23,0.59,0.0833508989308582,0.0009344366221390071,1.0387665420000758,tm_tw_support_offline,context_noise_refinement
tm_tw_refined,20263505,100,50,2,0.0,0.45,0.1,support_offline,1.0,1.0,deterministic,20.0,0.1,0.95,True,8728.52030945145,872852.0309451451,987178.9976403335,88.41882100728787,114326.96669518843,0.7,0.86,0.08291123882506164,0.0009577956044204216,1.0392267500000116,tm_tw_refined_support_offline,context_noise_refinement
oracle,20261649,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,12610.213133862491,1261021.3133862491,1324180.6520409735,95.23030799782671,63159.338654724415,0.89,0.96,0.32035087289488146,0.016590053413459017,0.02517408300002444,oracle,context_noise_refinement
state_thompson,20262547,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,3898.271101114511,389827.1101114511,1044883.2994030681,37.308196076457115,655056.189291617,0.21,0.36,0.3173886121639623,0.016474545087518215,0.02795920899995963,state_thompson,context_noise_refinement
global_ucb_tw,20262383,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,10702.13902767174,1070213.902767174,1264977.7759085405,84.60337589713923,194763.87314136652,0.48,0.62,0.31708462930360193,0.016460582109968622,1.1086190830000078,global_ucb_tw_dense,context_noise_refinement
local_ucb_tw,20262281,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6532.6404570910645,653264.0457091065,1015044.9911057554,64.35813697257527,361780.94539664895,0.38,0.58,0.3237686407947843,0.016714661398406,1.1154910410000412,local_ucb_tw_dense,context_noise_refinement
exp4,20261404,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11837.485882069466,1183748.5882069466,1351436.3675162753,87.59188494997274,167687.77930932865,0.56,0.71,0.32478771484924285,0.01686443223046044,1.1170530409999628,exp4_dense,context_noise_refinement
tw,20261254,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7183.108630520557,718310.8630520557,1361573.108573069,52.755952547039264,643262.2455210134,0.38,0.6,0.314678248764692,0.016325705772980034,1.1180199169999696,tw_dense,context_noise_refinement
tm_tw,20261574,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,5120.147677865033,512014.7677865033,1016845.5037252071,50.35325090298776,504830.73593870376,0.32,0.59,0.3252169272721962,0.016881527349763142,1.1424668749999682,tm_tw_dense,context_noise_refinement
tm_tw_refined,20262402,100,50,2,0.0,0.45,0.1,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11477.398599838156,1147739.8599838156,1255545.335479115,91.41365329877468,107805.47549529932,0.63,0.78,0.3176052385451121,0.016466059070142428,1.1440383330000259,tm_tw_refined_dense,context_noise_refinement
tw,20261466,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4634.658260433374,463465.82604333747,940198.0409952812,49.294489653766846,476732.2149519437,0.3,0.48,0.2488943667494425,0.012977233381109402,1.071290083000008,tw_offline,context_noise_refinement
tm_tw,20261786,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,6708.204042099929,670820.404209993,1240568.427582644,54.07363183642721,569748.023372651,0.42,0.63,0.25003305964714573,0.01307151874459178,1.0916307500000357,tm_tw_offline,context_noise_refinement
tm_tw_refined,20262614,100,50,2,0.0,0.45,0.1,offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,9399.001394801555,939900.1394801554,1111766.9570739707,84.54111120138461,171866.81759381527,0.51,0.78,0.2494153308254881,0.012930406330496833,1.0306014579999783,tm_tw_refined_offline,context_noise_refinement
tw,20262078,100,50,2,0.0,0.45,0.1,gated_offline,1.0,1.0,deterministic,20.0,0.1,0.95,False,4268.9780590879145,426897.80590879143,863757.5099497109,49.4233394200701,436859.7040409195,0.28,0.49,0.24830717907577426,0.012919270429283055,1.0267266250000375,tw_gated_offline,context_noise_refinement
